ulke;radarName;Lat_Deg;Lat_Min;Lat_Sec;Lat_Dir;Lon_Deg;Lon_Min;Lon_Sec;Lon_Dir;groundHeight;bands;polarization
KE;DWSR-8501 - JKIA;1;19;17;S;36;56;23;E;1658;S;D
VE;Jeremba;10;24;37;N;67;13;4;W;-999;S;S
VE;Capuchino;10;32;59;N;63;21;7;W;-999;S;S
VE;Maracaibo;10;33;51;N;71;43;21;W;-999;S;S
VE;Guasdualito;7;12;25;N;70;45;40;W;-999;S;S
VE;Puerto Ayacucho;5;39;5;N;67;36;16;W;-999;S;S
VE;Karun;5;18;57;N;63;24;9;W;-999;S;S
VE;Santa Elena;4;34;8;N;61;4;37;W;-999;S;S
VE;Guri;7;46;27;N;63;3;5;W;-999;S;S
BS;Nassau;25;3;0;N;77;28;0;W;-999;S;-
BB;Barbados;13;11;0;N;59;33;0;W;-999;S;-
BZ;Belize;17;32;8;N;88;18;21;W;31;S;S
JM;Kingston;18;4;0;N;76;51;0;W;-999;S;-
GY;Guyana;6;29;0;N;58;15;0;W;-999;S;-
CU;Casablanca MRL-5M;23;9;0;N;82;21;0;W;-999;S;S
CU;Camaguey MRL-5M;21;23;0;N;77;51;0;W;-999;S;S
CU;La Bajada RC-32BM;21;51;0;N;84;29;0;W;-999;S;S
CU;Punta del Este RC-32BM;21;33;0;N;82;32;0;W;-999;S;S
CU;Gran Piedra RC-32BM;20;1;0;N;75;38;0;W;-999;S;S
CU;Pico San Juan MRL-5M;21;59;0;N;80;9;0;W;-999;S;S
CU;Pilón MRL-5M;19;56;0;N;77;24;0;W;-999;S;S
CU;Holguín Meteor 1500 S;20;56;0;N;76;12;0;W;-999;S;S
DO;Punta Cana TDR-4350;18;31;0;N;68;24;0;W;-999;S;-
SV;Santa Ana;13;58;43;N;89;33;53;W;-999;X;-
SV;San Salvador;13;41;15;N;89;13;43;W;-999;X;-
SV;San Miguel;13;29;55;N;88;9;45;W;-999;X;-
SV;Sonsonate;13;42;33;N;89;43;53;W;-999;X;-
SV;Chalatenango;14;9;46;N;88;56;41;W;-999;X;-
SV;Zacatecoluca;13;30;19;N;88;52;33;W;-999;X;-
PF;Le Moule, Guadeloupe;16;19;0;N;61;20;0;W;-999;S;-
PF;Diamant, Martinique;14;30;0;N;61;1;0;W;-999;S;-
PF;Kourou, French Guiana;4;50;0;N;52;22;0;W;-999;C;-
MX;Altamira, Tamaulipas;22;23;16;N;97;55;31;W;9;C;S
MX;Guasave, Sinaloa;25;34;3;N;108;27;48;W;29;C;S
MX;Los Cabos, Baja California Sur;22;52;52;N;109;55;36;W;255;C;S
MX;El Palmito, Durango;25;45;21;N;104;54;17;W;2180;C;S
MX;Acapulco, Guerrero;16;45;48;N;99;44;58;W;3;C;D
MX;Sabancuy, Campeche;18;58;21;N;91;10;22;W;3;C;D
MX;Cancún, Quintana Roo;21;1;44;N;86;51;7;W;6;C;S
MX;Cuyutlán, Colima;18;56;10;N;104;5;59;W;0;C;S
MX;Puerto Angel, Oaxaca;15;40;17;N;96;29;51;W;97;C;S
MX;Alvarado, Veracruz;18;42;57;N;95;37;57;W;60;C;S
MX;Cd. Obregón, Sonora;27;28;54;N;109;56;44;W;47;C;S
MX;Cerro El Mozotal, Chiapas;15;25;34;N;92;20;34;W;2952;C;D
CW;Hato Airport, Curaçao WSR-74S;12;10;0;N;68;56;0;W;-999;S;-
BM;LF Wade Intl. Airport;32;21;4;N;64;39;28;W;45;S;S
KY;Grand Cayman;19;19;44;N;81;8;37;W;1;S;D
MX;Cerro de la Catedral, Estado de México;19;33;0;N;99;31;14;W;3740;C;S
SX;Juliana Airport, St. Maarten WSR-74S;18;3;0;N;63;4;0;W;-999;S;-
FR;Mont Colombis;44;29;46;N;6;13;14;E;1736;X;D
FR;Mont Maurel;44;0;46;N;6;31;45;E;1772;X;D
